graph_id,num_nodes,num_edges,label,aggregated_features
813,11,10,2,"[1.0172266960144043, 0.010073100216686726, -0.007630512584000826, 0.01924152486026287, -0.013119169510900974, 0.007119200192391872, 0.002405361970886588, 0.010861714370548725, -0.009372489526867867, -0.008473312482237816, -0.006581468507647514]"
813,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
238,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
238,9,8,1,"[0.9951477646827698, 0.9895458221435547, 1.0012105703353882, 1.000930905342102, -0.00040978778270073235, -0.00036956026451662183, -0.007237850222736597, 0.013608868233859539, -0.015545455738902092]"
238,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
508,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
508,11,10,2,"[0.9948000311851501, 1.0026031732559204, 1.0043258666992188, 0.9850954413414001, -0.007094194181263447, 0.014197428710758686, -0.013123884797096252, -0.01080427784472704, 0.012723331339657307, -0.014795707538723946, 0.00822359137237072]"
508,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
112,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
112,10,9,0,"[1.0036834478378296, 1.013304352760315, 1.0054895877838135, 0.9994794130325317, -0.02083994634449482, 0.008092651143670082, 0.014068911783397198, 0.004587154369801283, 0.004461886361241341, 0.005774268414825201]"
112,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
159,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
159,10,9,0,"[1.0093038082122803, 1.011359453201294, 1.0057716369628906, 0.9921633005142212, 0.0002958914265036583, -0.009809765964746475, -0.003661591559648514, -0.0011602267622947693, 0.006267245393246412, 0.0020447629503905773]"
159,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
616,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
616,11,10,2,"[0.9913920760154724, 1.0062934160232544, 1.0030028820037842, 1.0068141222000122, -0.0022925548255443573, -0.001914222608320415, 0.015632957220077515, -0.0045723202638328075, -0.004463545512408018, -0.006924924906343222, -0.008185084909200668]"
616,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
586,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
586,11,10,2,"[0.9919776320457458, -0.0025830548256635666, -0.0027496078982949257, -0.013091164641082287, -0.006134773138910532, 0.010893182829022408, 0.003307600738480687, -0.018286891281604767, 0.0011539073893800378, 0.002955567790195346, -0.00928501971065998]"
586,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
228,9,8,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
228,9,8,1,"[1.002764344215393, 0.0038129936438053846, 0.006013824604451656, -0.004721487872302532, -0.020093312487006187, 0.004853008780628443, 0.0028787453193217516, -0.0030931918881833553, -0.002428139327093959]"
228,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
492,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
492,11,10,2,"[0.9945737719535828, 0.9958229064941406, 1.0128600597381592, 1.0014418363571167, 0.016117358580231667, 0.004910706542432308, 0.0008763476507738233, 0.0037961339112371206, -0.009202541783452034, -0.012278037145733833, -0.014269189909100533]"
492,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
673,11,10,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
673,11,10,2,"[0.9844246506690979, 1.0040383338928223, 0.9881720542907715, 1.0016899108886719, 1.0029464960098267, 0.9784373044967651, -0.00809011235833168, 0.017627039924263954, 0.019861990585923195, 0.01632414385676384, -0.004786662757396698]"
673,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
245,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
245,9,8,1,"[1.0298011302947998, 1.0131853818893433, 0.995805025100708, 0.9945133328437805, 0.0008939513354562223, -0.004185423254966736, -0.0006553057464770973, -0.01791427657008171, -0.007207958959043026]"
245,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
348,9,8,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
348,9,8,1,"[0.9874832034111023, 1.0037435293197632, 1.004960298538208, 0.9954655170440674, 0.9848614931106567, 1.0039293766021729, 0.9889433979988098, 0.9969670176506042, -0.007680876646190882]"
348,9,8,1,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
409,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
409,9,8,1,"[0.9854446053504944, 0.9973212480545044, 0.9847736358642578, 1.0041239261627197, 0.016130361706018448, -0.011817006394267082, 0.0006111818947829306, -0.004580322653055191, 0.00032937846845015883]"
409,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
493,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
493,11,10,2,"[1.0012242794036865, 0.999241054058075, 1.003430724143982, 1.0040754079818726, -0.014674133621156216, 0.008436789736151695, 0.0011652089888229966, 0.0013853481505066156, -0.014975715428590775, 0.015377244912087917, -0.003982211463153362]"
493,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
200,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200,9,8,1,"[1.0012147426605225, 1.00801682472229, 1.0056711435317993, 1.0134902000427246, 0.003912721760571003, -0.004744991660118103, 0.008600294589996338, 0.00658456003293395, -0.0025259428657591343]"
200,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
51,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,10,9,0,"[1.0057661533355713, 0.9891491532325745, 0.9987443089485168, 0.9987596869468689, -0.008161308243870735, -0.015656519681215286, -0.014467805624008179, 0.01111710537225008, -0.005867969710379839, -0.010993259958922863]"
51,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
384,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
384,9,8,1,"[1.0108577013015747, 0.9878937005996704, 0.996275782585144, 1.00736665725708, 0.00814293883740902, -0.007278874982148409, 0.005136607214808464, 0.01729048602283001, -0.014953095465898514]"
384,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
614,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
614,11,10,2,"[1.0051223039627075, 0.018100004643201828, -6.293703336268663e-05, 0.010302233509719372, 0.005253524053841829, -0.002257702639326453, -0.014702160842716694, 0.004619568586349487, -0.00356273609213531, -0.004074669908732176, 0.0005951833445578814]"
614,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
783,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
783,11,10,2,"[0.9867764711380005, 0.9963318109512329, 0.9964234828948975, 0.9985328316688538, -0.01309366337954998, -0.013731610029935837, -0.0014119629049673676, -0.028576139360666275, -0.017476247623562813, -0.01150798425078392, 0.0083698071539402]"
783,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
242,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
242,9,8,1,"[1.0055452585220337, 0.9989498853683472, 0.9979876279830933, 0.9944576025009155, -0.0004728388739749789, -0.010375766083598137, -0.0034942247439175844, 0.01160319335758686, -0.0011173683451488614]"
242,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
608,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
608,11,10,2,"[1.0220270156860352, -0.011735000647604465, -0.008166978135704994, -0.012261553667485714, -0.006655276753008366, -0.0023880410008132458, 0.002700167940929532, 0.0213089007884264, -0.013333722949028015, -0.006816016510128975, -0.007284086663275957]"
608,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
729,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
729,11,10,2,"[1.0043236017227173, 0.012485970743000507, -0.01106483768671751, 0.010409651324152946, 0.0017863938119262457, -0.00265856203623116, -0.013081986457109451, -0.002259831875562668, -0.014904678799211979, 0.0067008910700678825, 0.0024239153135567904]"
729,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
589,11,10,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
589,11,10,2,"[0.9915792346000671, 0.998946487903595, 0.9910467863082886, 0.9926162958145142, 1.000807285308838, 1.016526222229004, 0.9834517240524292, -0.0011781894136220217, 0.0018711588345468044, 0.0070931254886090755, 0.01016775332391262]"
589,11,10,2,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
41,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,10,9,0,"[0.9919223189353943, 1.0001403093338013, 1.0028352737426758, 1.007334589958191, -0.006841220892965794, 0.00032842549262568355, -0.00494829285889864, -0.009240505285561085, 0.008074626326560974, -0.005151047371327877]"
41,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
132,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
132,10,9,0,"[0.9815085530281067, 0.9982402324676514, 0.9993307590484619, 1.0141551494598389, 0.009518882259726524, -0.007841463200747967, -0.019621949642896652, -0.009476686827838421, -4.3391442886786535e-05, -0.01671624183654785]"
132,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
184,10,9,0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
184,10,9,0,"[0.9835082292556763, 0.009061493910849094, -0.005863389931619167, -0.0001380856119794771, -0.01411050371825695, -0.004099624697118998, 0.004284939728677273, -0.002462433185428381, 0.02550111711025238, 0.01699308678507805]"
184,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
664,11,10,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
664,11,10,2,"[1.0026705265045166, 1.0070619583129883, 0.9867966175079346, 1.005693793296814, 0.9986004829406738, 1.006136417388916, -0.009607039391994476, -0.004157179966568947, -0.0029252078384160995, -0.0015462319133803248, 0.004157111514359713]"
664,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
435,9,8,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
435,9,8,1,"[1.014556646347046, -6.541188923847585e-08, 0.008462644182145596, -0.0045427423901855946, 0.008114749565720558, 0.027338577434420586, -0.0085066519677639, -0.02588544599711895, -0.012258965522050858]"
435,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
86,10,9,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
86,10,9,0,"[1.0032618045806885, 0.9878154993057251, 1.0032035112380981, 0.9993706345558167, 1.0052270889282227, 1.0141777992248535, 0.007907016202807426, 0.012193305417895317, -0.027780089527368546, 0.015735799446702003]"
86,10,9,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
162,10,9,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
162,10,9,0,"[1.0058649778366089, 0.9956175684928894, 0.9935357570648193, 0.9878661036491394, 1.021744728088379, 0.017078947275877, 0.010059375315904617, -0.021797282621264458, -0.019188780337572098, -0.004449764732271433]"
162,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
45,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,10,9,0,"[1.0027976036071777, 0.98582524061203, 1.0001559257507324, 1.0030403137207031, 0.01175682619214058, -0.025021692737936974, 0.008245625533163548, 0.010641949251294136, -0.00046827420010231435, 0.0005864747217856348]"
45,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
247,9,8,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
247,9,8,1,"[0.9965748190879822, 0.0013349239015951753, 0.008503463119268417, -0.00308823911473155, 0.020061258226633072, -0.006556035950779915, -0.009018100798130035, 0.011387723498046398, -0.0014801278011873364]"
247,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
446,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
446,9,8,1,"[0.9858673810958862, 0.9871147274971008, 0.9791646003723145, 1.0051497220993042, -0.012271578423678875, -0.001544638886116445, -0.003985186573117971, -0.0014081546105444431, -0.015953434631228447]"
446,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
566,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
566,11,10,2,"[0.985643744468689, 0.0008664146880619228, 0.006472380831837654, 0.00583574827760458, 0.024372119456529617, 0.0005149951903149486, 0.008019866421818733, -0.008878921158611774, 0.02608875185251236, -0.0019125547260046005, 0.015612910501658916]"
566,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
663,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
663,11,10,2,"[1.009413242340088, 1.0151724815368652, 1.010040521621704, 0.9896261692047119, -0.00455519650131464, -0.011670982465147972, -0.002262104069814086, -0.01673433929681778, -0.010837482288479805, -0.006095182616263628, -0.013430517166852951]"
663,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
217,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
217,9,8,1,"[0.9934637546539307, 1.014870285987854, 1.003088116645813, 1.00282621383667, -0.0025520026683807373, 0.005253024399280548, -0.01127155777066946, -0.005575881339609623, -0.003831468988209963]"
217,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
519,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
519,11,10,2,"[1.0041812658309937, 1.0135892629623413, 0.9836891889572144, 0.9978574514389038, -0.014606446959078312, 0.014345090836286545, 0.02196221612393856, -0.008695359341800213, 0.007995445281267166, -0.02109750546514988, -0.015871651470661163]"
519,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
531,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
531,11,10,2,"[1.0044431686401367, 0.9985273480415344, 0.9912440180778503, 1.0059794187545776, 0.020265208557248116, 0.007729674223810434, 0.003521530656144023, 0.013970393687486649, -0.002415579743683338, -0.008067096583545208, -0.009397056885063648]"
531,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
780,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
780,11,10,2,"[0.9895531535148621, -0.001877681235782802, -0.005688837263733149, 0.01236816868185997, -0.009860125370323658, -0.006764732301235199, 0.007420404348522425, 0.0006213661399669945, 0.0018771950853988528, 0.023010000586509705, -0.00887465663254261]"
780,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
216,9,8,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
216,9,8,1,"[0.9886634945869446, 0.0095490338280797, 0.00573156401515007, 0.006196954287588596, 0.007753854617476463, 0.010418846271932125, 0.013999207876622677, -0.00026124605210497975, 0.006728164851665497]"
216,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
283,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
283,9,8,1,"[0.985670268535614, 0.9941274523735046, 0.9957478642463684, 0.9831007122993469, 0.005497773177921772, 0.013808387331664562, -0.002921813167631626, -0.015069616958498955, 0.008736507967114449]"
283,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
538,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
538,11,10,2,"[1.0059889554977417, 0.008601654320955276, -0.014120865613222122, -0.002226269105449319, 0.0041252919472754, -0.004455001093447208, -0.0001358848821837455, 0.0008129341877065599, -0.00757190864533186, 0.010295634157955647, 0.009213597513735294]"
538,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
358,9,8,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
358,9,8,1,"[0.9924098253250122, 0.9948582649230957, 1.0199497938156128, 1.0143764019012451, 0.9914084672927856, 0.9885528087615967, 1.0122474431991577, 1.0034536123275757, -0.014860247261822224]"
358,9,8,1,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
285,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
285,9,8,1,"[0.991296112537384, 1.0052263736724854, 1.0038325786590576, 0.9926999807357788, -0.011062170378863811, 0.012069699354469776, -0.01107157301157713, -0.008130061440169811, -0.001409280812367797]"
285,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
338,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
338,9,8,1,"[1.006719946861267, 0.9892714619636536, 0.9815127849578857, 0.9980443120002747, 0.009001659229397774, -4.0833525417838246e-05, -0.002088750945404172, 0.008921539410948753, 0.0066597298718988895]"
338,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
194,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
194,10,9,0,"[1.0068451166152954, 0.9982128739356995, 0.9958094954490662, 0.9868980050086975, -0.002548924647271633, 0.00794162880629301, 0.003910611849278212, 0.00350243435241282, -0.009310834109783173, 0.00015416204405482858]"
194,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
211,9,8,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
211,9,8,1,"[0.9886199831962585, 1.0060151815414429, 0.9976539015769958, 1.0066313743591309, 0.9927260279655457, 1.0000258684158325, 1.0037657022476196, 0.9884950518608093, 0.016116295009851456]"
211,9,8,1,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
778,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
778,11,10,2,"[0.9929991960525513, 0.011363734491169453, 0.006183850113302469, -0.0017937502125278115, -0.010531310923397541, -0.007437227293848991, 0.0004771403910126537, -0.01605294458568096, -0.0014064694987609982, 0.000828889140393585, -0.0009145960211753845]"
778,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
483,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
483,11,10,2,"[0.9943475127220154, 0.9967246651649475, 1.013821005821228, 1.0079230070114136, 0.0034692110493779182, -0.016544131562113762, -0.015425832010805607, -0.001056038890965283, 0.020276609808206558, -0.00962757971137762, -0.007730795070528984]"
483,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
148,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
148,10,9,0,"[1.0016534328460693, 0.9971309304237366, 1.011276125907898, 1.0085294246673584, 0.02186581864953041, 0.005892430432140827, -0.011491719633340836, 0.015385827980935574, 0.018714653328061104, -0.023885268718004227]"
148,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
462,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
462,9,8,1,"[0.9972577691078186, 1.0036712884902954, 1.0072879791259766, 0.9898943305015564, 0.0071855285204946995, -0.002916018944233656, 0.008429699577391148, -0.012729385867714882, 0.011455756612122059]"
462,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
704,11,10,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
704,11,10,2,"[0.9980952739715576, 0.9983143210411072, 1.0022400617599487, 0.9994418621063232, 0.9879443645477295, 0.9935171604156494, 0.005163072142750025, -0.006475907284766436, 0.005833768751472235, 0.014083532616496086, 0.005304436665028334]"
704,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
807,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
